freq_hz,gain_mag,gain_db
4.265795189999999711e+05,3.495586720217317978e-01,-9.129598384247302079e+00
4.365158319999999949e+05,3.425449586566145510e-01,-9.305648394958799585e+00
4.466835920000000042e+05,3.356351070950268634e-01,-9.482652374017098040e+00
4.570881900000000023e+05,3.288297833419039917e-01,-9.660577073536948944e+00
4.677351410000000033e+05,3.221294990582707629e-01,-9.839390055508497213e+00
4.786300920000000042e+05,3.155346198837223892e-01,-1.001905967612334791e+01
4.897788190000000177e+05,3.090453730319723813e-01,-1.019955508394270538e+01
5.011872339999999967e+05,3.026618558271255144e-01,-1.038084618593218167e+01
5.128613840000000200e+05,2.963840376563419698e-01,-1.056290379688006098e+01
5.248074599999999627e+05,2.902117733895903107e-01,-1.074569945930157822e+01
5.370317959999999730e+05,2.841448055806369832e-01,-1.092920557670920623e+01
